sigla;nome_curto;nome_longo;definicao
espvida;Esperança de vida ao nascer;Esperança de vida ao nascer;Número médio de anos que as pessoas deverão viver a partir do nascimento, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo.
gini;Índice de Gini;Índice de Gini;Mede o grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Seu valor varia de 0, quando não há desigualdade (a renda domiciliar per capita de todos os indivíduos tem o mesmo valor), a 1, quando a desigualdade é máxima (apenas um indivíduo detém toda a renda).O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.
idhm;IDHM;Índice de Desenvolvimento Humano Municipal;Índice de Desenvolvimento Humano Municipal. Média geométrica dos índices das dimensões Renda, Educação e Longevidade, com pesos iguais.
idhm_e;IDHM Educação;Índice de Desenvolvimento Humano Municipal - Dimensão Educação;Índice sintético da dimensão Educação que é um dos 3 componentes do IDHM. É obtido através da média geométrica do subíndice de frequência de crianças e jovens à escola, com peso de 2/3, e do subíndice de escolaridade da população adulta, com peso de 1/3.
idhm_l;IDHM Longevidade;Índice de Desenvolvimento Humano Municipal - Dimensão Longevidade;Índice da dimensão Longevidade que é um dos 3 componentes do IDHM. É obtido a partir do indicador Esperança de vida ao nascer, através da fórmula: [(valor observado do indicador) - (valor mínimo)] / [(valor máximo) - (valor mínimo)], onde os valores mínimo e máximo são 25 e 85 anos, respectivamente.
idhm_r;IDHM Renda;Índice de Desenvolvimento Humano Municipal - Dimensão Renda;Índice da dimensão Renda que é um dos 3 componentes do IDHM. É obtido a partir do indicador Renda per capita, através da fórmula: [ln (valor observado do indicador) - ln (valor mínimo)] / [ln (valor máximo) - ln (valor mínimo)], onde os valores mínimo e máximo são R$ 8,00 e R$ 4.033,00 (a preços de agosto de 2010).
muni_id;Código do Município;Código do Município;Código utilizado pelo IBGE para identificação do município(com digito verificador).
muni_nm;Nome do Município;Nome do município;Nome do município.
pop;População total em domicílios particulares permanentes;População total que reside em domicílios particulares permanentes;População residente em domicílios particulares permanentes. Exclui os residentes em domicílios coletivos, como pensões, hotéis, prisões, quartéis, hospitais.
rdpc;Renda per capita;Renda per capita média;Razão entre o somatório da renda de todos os indivíduos residentes em domicílios particulares permanentes e o número total desses indivíduos. Valores em reais de 01/agosto de 2010.
uf_sigla;Código da Unidade da Federação;Código da Unidade da Federação;Código utilizado pelo IBGE para identificação do estado.
